63079,354458.2266,1875251.2818,1207.6558,_END
63080,354761.6249,1875251.2818,1208.1677,_END
63081,354622.3434,1875273.7118,1206.6056,_PILE
63082,354596.3769,1875273.7118,1206.7661,_MOTOR_PILE
63083,354653.2339,1875273.7118,1206.7439,_PILE
63084,354680.3316,1875273.7118,1207.0949,_PILE
63085,354711.2220,1875273.7118,1207.3428,_PILE
63086,354738.3198,1875273.7118,1207.5498,_PILE
63087,354570.4103,1875273.7118,1207.0604,_PILE
63088,354539.5199,1875273.7118,1207.2688,_PILE
63089,354512.4222,1875273.7118,1207.7560,_PILE
63090,354481.5317,1875273.7118,1207.5670,_PILE
63091,354458.2266,1875273.7118,1207.5031,_END
63092,354761.6249,1875273.7118,1207.8912,_END
63093,354622.3434,1875296.1418,1205.8441,_PILE
63094,354596.3769,1875296.1418,1206.1431,_MOTOR_PILE
63095,354653.2339,1875296.1418,1206.2309,_PILE
63096,354680.3316,1875296.1418,1206.5076,_PILE
63097,354711.2220,1875296.1418,1206.8851,_PILE
63098,354738.3198,1875296.1418,1207.2382,_PILE
63099,354570.4103,1875296.1418,1206.4379,_PILE
63100,354539.5199,1875296.1418,1206.7533,_PILE
63101,354512.4222,1875296.1418,1207.0452,_PILE
63102,354481.5317,1875296.1418,1207.3358,_PILE
63103,354458.2266,1875296.1418,1207.2427,_END
63104,354761.6249,1875296.1418,1207.4343,_END
63105,354622.3434,1875318.5718,1205.0389,_PILE
63106,354596.3769,1875318.5718,1205.0779,_MOTOR_PILE
63107,354653.2339,1875318.5718,1205.1625,_PILE
63108,354680.3316,1875318.5718,1205.4064,_PILE
63109,354711.2220,1875318.5718,1205.7719,_PILE
63110,354738.3198,1875318.5718,1206.2144,_PILE
63111,354570.4103,1875318.5718,1205.3184,_PILE
63112,354539.5199,1875318.5718,1205.7704,_PILE
63113,354512.4222,1875318.5718,1206.0331,_PILE
63114,354481.5317,1875318.5718,1206.8114,_PILE
63115,354458.2266,1875318.5718,1206.8511,_END
63116,354761.6249,1875318.5718,1206.6758,_END
63117,354622.3434,1875341.0018,1204.3063,_PILE
63118,354596.3769,1875341.0018,1204.3388,_MOTOR_PILE
63119,354653.2339,1875341.0018,1204.4299,_PILE
63120,354680.3316,1875341.0018,1204.6053,_PILE
63121,354711.2220,1875341.0018,1204.9341,_PILE
63122,354738.3198,1875341.0018,1205.3779,_PILE
63123,354570.4103,1875341.0018,1204.5370,_PILE
63124,354539.5199,1875341.0018,1204.7917,_PILE
63125,354512.4222,1875341.0018,1205.1973,_PILE
63126,354481.5317,1875341.0018,1206.2410,_PILE
63127,354458.2266,1875341.0018,1206.3852,_END
63128,354761.6249,1875341.0018,1205.6747,_END
